ID	ENCODE_ID	bw_plus	bw_minus	cell_count	Cell line	Type	replicate	Seq_run	Pool	method	use
GM12878_50K_C3	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_50k_3_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_50k_3_STAR.minus.bw	50K	GM12878	C	3	2	6	CAGE	yes
GM12878_250K_C1	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_250k_1_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_250k_1_STAR.minus.bw	250K	GM12878	C	1	2	5	CAGE	yes
GM12878_250K_C2	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_250k_2_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_250k_2_STAR.minus.bw	250K	GM12878	C	2	2	5	CAGE	yes
GM12878_250K_C3	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_250k_3_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_250k_3_STAR.minus.bw	250K	GM12878	C	3	2	5	CAGE	yes
GM12878_500K_C1	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_500k_1_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_500k_1_STAR.minus.bw	500K	GM12878	C	1	2	4	CAGE	yes
GM12878_500K_C2	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_500k_2_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_500k_2_STAR.minus.bw	500K	GM12878	C	2	2	6	CAGE	yes
GM12878_500K_C3	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_500k_3_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_500k_3_STAR.minus.bw	500K	GM12878	C	3	2	6	CAGE	yes
GM12878_1M_C1	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_1mio_1_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_1mio_1_STAR.minus.bw	1M	GM12878	C	1	2	4	CAGE	yes
GM12878_1M_C2	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_1mio_2_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_1mio_2_STAR.minus.bw	1M	GM12878	C	2	2	6	CAGE	yes
GM12878_1M_C3	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_1mio_3_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_C_1mio_3_STAR.minus.bw	1M	GM12878	C	3	2	6	CAGE	yes
GM12878_500K_N1	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_500k_1_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_500k_1_STAR.minus.bw	500K	GM12878	N	1	2	5	CAGE	yes
GM12878_500K_N2	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_500k_2_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_500k_2_STAR.minus.bw	500K	GM12878	N	2	2	4	CAGE	yes
GM12878_500K_N3	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_500k_3_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_500k_3_STAR.minus.bw	500K	GM12878	N	3	2	5	CAGE	yes
GM12878_1M_N1	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_1mio_1_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_1mio_1_STAR.minus.bw	1M	GM12878	N	1	2	4	CAGE	yes
